metric,tier,predictor,roi,n,beta,p,r_partial
MD,primary,dexterity_nondominant,MOG_L,285,-6.154884316760021e-07,0.022942311758302317,-0.136631463062678
MD,primary,dexterity_nondominant,MOG_R,285,-7.592168607462708e-07,0.003954003081641284,-0.17262990130412903
MD,primary,dexterity_nondominant,SOG_L,285,-1.0200705147480522e-06,0.010644625591975487,-0.15324965298015764
MD,primary,dexterity_nondominant,SOG_R,285,-7.986073644809723e-07,0.07750333604183733,-0.10625020809063718
AD,primary,dexterity_dominant,IOG_L,289,-5.943109199677719e-07,0.013961017840806542,-0.14650869072395395
AD,primary,dexterity_dominant,IOG_R,289,-1.1285520340932664e-07,0.6123632389306436,-0.030355709889326104
AD,primary,dexterity_dominant,MOG_L,289,-4.650225225147179e-07,0.05132172681539608,-0.11637789821340828
AD,primary,dexterity_dominant,MOG_R,289,-2.4666890993830587e-07,0.28675453050238997,-0.0637681288204821
AD,primary,dexterity_dominant,SOG_L,289,-4.952992195043464e-07,0.11987240663729873,-0.09299534212414722
AD,primary,dexterity_dominant,SOG_R,289,-3.525595450321358e-07,0.33673509087232123,-0.0575156793882678
AD,primary,dexterity_nondominant,IOG_L,287,-4.596404906400786e-07,0.06754935331763713,-0.10960171931181033
AD,primary,dexterity_nondominant,IOG_R,287,-3.359474588874317e-07,0.14484594869863707,-0.08751234891306087
AD,primary,dexterity_nondominant,MOG_L,287,-4.839430538668748e-07,0.049788659637206606,-0.11756861584872698
AD,primary,dexterity_nondominant,MOG_R,287,-6.371344768611005e-07,0.007510213135342192,-0.1597363309195402
AD,primary,dexterity_nondominant,SOG_L,287,-6.856572855619589e-07,0.037213940991765726,-0.12480269093086996
AD,primary,dexterity_nondominant,SOG_R,287,-5.26965038063977e-07,0.16439148465404674,-0.08347363106135965
RD,primary,dexterity_dominant,IOG_L,289,-9.120893800628244e-07,0.0003554229398643273,-0.2115633099372199
RD,primary,dexterity_dominant,IOG_R,289,-6.986909638885585e-07,0.004572985226350126,-0.1686997213151952
RD,primary,dexterity_dominant,MOG_L,289,-8.563210781997848e-07,0.002671529876013328,-0.17851069097165717
RD,primary,dexterity_dominant,MOG_R,289,-7.086928140689844e-07,0.011382570215979312,-0.15077867826437236
RD,primary,dexterity_dominant,SOG_L,289,-1.3129447138899325e-06,0.003927524603645249,-0.1715282693711807
