metric,predictor,roi,n,beta,p,r_partial
FA,grip_dominant,superior occipital gyrus right,287,-6.822826224331426e-05,0.7961996877397314,-0.015530925409072974
FA,grip_dominant,middle occipital gyrus left,287,-7.458440561070235e-05,0.6774033750476101,-0.02501421567871597
FA,grip_dominant,MIDDLE OCCIPITAL GYRUS right,287,-8.42842929662432e-05,0.6571167438977559,-0.026690537125805634
FA,grip_dominant,inferior occipital gyrus left,287,9.081307541647526e-05,0.6536389222994222,0.026979963496269264
FA,grip_dominant,inferior occipital gyrus right,287,-0.00018383296257243076,0.3515492032825974,-0.05598032599248475
FA,grip_dominant,cuneus left,287,3.926036391222682e-05,0.8621171025740374,0.010444546169451457
FA,grip_dominant,cuneus right,287,3.670970689952917e-05,0.8078418157755433,0.014625555048431629
FA,grip_dominant,lingual gyrus left,287,3.8925262910024213e-05,0.7887038033935259,0.016115701693179153
FA,grip_dominant,lingual gyrus right,287,0.00011132583251167896,0.41014077826349343,0.049502395535110974
FA,grip_dominant,rostral anterior cingulate gyrus left,287,-4.231024664556588e-05,0.7974260413108241,-0.015435394268288298
FA,grip_dominant,rostral anterior cingulate gyrus right,287,4.05055683445294e-06,0.9762982303785842,0.0017867193017868928
FA,grip_dominant,subcallosal anterior cingulate gyrus left,287,-0.00045690885442900645,0.15247333316836365,-0.0858899563689917
FA,grip_dominant,subcallosal anterior cingulate gyrus right,287,-0.000294491671112667,0.3105101650447332,-0.06093282670257627
FA,grip_dominant,subgenual anterior cingulate gyrus left,287,-0.00024638223255558304,0.2745607267460574,-0.06563756009833122
FA,grip_dominant,subgenual anterior cingulate gyrus right,287,-4.342078736622013e-05,0.8285406955198749,-0.01302384090359255
FA,grip_dominant,dorsal anterior cingulate gyrus left,287,-0.0001540761761121142,0.569516017821098,-0.03419459402965245
FA,grip_dominant,dorsal anterior cingulate gyrus right,287,-1.7813378254709022e-05,0.943891258619515,-0.004232519940636329
FA,grip_dominant,posterior cingulate gyrus left,287,-0.0002646623077220238,0.5215033886800139,-0.038536196010029417
FA,grip_dominant,posterior cingulate gyrus right,287,-0.00044977018248950956,0.31458330212084723,-0.06042301725949621
FA,grip_dominant,insular left,287,-0.00011103831090769525,0.42818383212868477,-0.04762083787174812
FA,grip_dominant,insular right,287,-0.00015283302693302298,0.37609294048606917,-0.05319191739076274
FA,grip_dominant,amygdala left,287,-0.0002320085797407859,0.1760889963380216,-0.08122651407682602
FA,grip_dominant,amygdala right,287,-0.0003477026269807201,0.07496053890902005,-0.10678246011927596
FA,grip_dominant,hippocampus left,287,-9.471206297883705e-06,0.9658155075332989,-0.0025773497732966087
FA,grip_dominant,hippocampus right,287,-0.0001349399544153054,0.5782730881844323,-0.033422149855020816
